total_messages,unique_payloads,duplicate_ratio,message_frequency,topic_frequency,payload_length,time_interval,label
21,16,0.2381,2.9934,1.1276,10,0.6423,0
110,97,0.1182,61.5535,34.2919,29,0.0265,2
18,18,0.0,2.6157,4.6671,29,1.7658,0
17,1,0.9412,8.3655,8.526,11,0.1806,1
24,1,0.9583,11.7164,10.1845,16,0.1984,1
31,26,0.1613,4.9838,2.3166,16,1.937,0
23,16,0.3043,3.9658,2.753,30,1.4367,0
129,117,0.093,75.7823,44.2584,14,0.0199,2
134,108,0.194,31.5555,92.4046,25,0.0177,2
22,2,0.9091,9.4918,14.3684,19,0.1354,1
189,183,0.0317,43.0387,56.6784,16,0.0195,2
128,117,0.0859,56.4719,36.0639,10,0.0187,2
111,103,0.0721,67.615,58.1722,16,0.0232,2
35,30,0.1429,1.4043,1.1873,10,0.3193,0
17,10,0.4118,4.2487,0.9774,14,1.8548,0
111,99,0.1081,63.1412,52.4071,13,0.0229,2
30,30,0.0,4.6299,4.3734,28,1.5064,0
148,132,0.1081,89.0354,76.9928,19,0.0207,2
22,3,0.8636,10.1581,10.2012,30,0.1952,1
115,104,0.0957,45.4114,76.481,12,0.0296,2
89,71,0.2022,88.3737,39.8126,19,0.0293,2
164,136,0.1707,63.4504,47.7144,22,0.0271,2
37,34,0.0811,1.0511,1.6869,23,0.7516,0
31,31,0.0,1.2836,3.1474,18,1.4865,0
17,1,0.9412,8.0274,8.196,14,0.0502,1
142,118,0.169,42.1559,50.1136,23,0.0252,2
38,28,0.2632,1.308,1.9426,11,1.5869,0
23,2,0.913,10.3854,6.5754,19,0.164,1
115,106,0.0783,33.7277,34.4556,16,0.0177,2
125,104,0.168,93.1947,49.5833,13,0.0132,2
18,17,0.0556,1.4984,2.5108,26,0.7503,0
106,97,0.0849,95.2455,93.3195,21,0.0245,2
29,25,0.1379,4.7836,0.5284,11,1.8636,0
28,2,0.9286,9.708,14.116,24,0.1643,1
28,1,0.9643,9.0994,9.4215,16,0.1278,1
29,5,0.8276,10.3412,12.812,10,0.0975,1
178,145,0.1854,66.8965,63.7567,16,0.0113,2
95,91,0.0421,98.024,75.1151,29,0.0178,2
36,34,0.0556,2.4713,0.5692,14,0.8005,0
23,22,0.0435,2.9566,4.3836,16,1.3275,0
82,81,0.0122,75.0928,63.2293,26,0.0262,2
133,133,0.0,90.788,40.8332,23,0.0097,2
91,90,0.011,83.7101,75.5138,11,0.0169,2
181,152,0.1602,88.148,66.4283,26,0.0241,2
15,2,0.8667,5.7463,7.1104,15,0.1932,1
39,34,0.1282,2.8497,4.2736,15,1.6696,0
27,5,0.8148,14.4229,5.4653,19,0.1066,1
28,1,0.9643,12.8315,6.0314,23,0.1224,1
183,160,0.1257,66.4294,93.8468,12,0.0124,2
24,1,0.9583,8.5143,6.8416,11,0.0706,1
30,2,0.9333,14.2041,5.5634,23,0.1078,1
18,14,0.2222,2.951,1.9267,30,1.2725,0
147,123,0.1633,44.7658,43.494,13,0.0204,2
30,23,0.2333,0.856,4.8944,20,1.1153,0
29,1,0.9655,9.2866,11.5772,20,0.1759,1
15,13,0.1333,1.2585,4.2057,19,1.4183,0
29,21,0.2759,3.0381,4.5053,22,1.7559,0
16,11,0.3125,0.6358,4.6867,17,1.304,0
33,32,0.0303,0.7429,3.5743,22,1.4183,0
98,78,0.2041,47.1351,42.0347,22,0.0279,2
37,35,0.0541,3.6787,1.6502,10,0.8627,0
119,113,0.0504,84.5375,58.3633,29,0.0059,2
100,81,0.19,96.4278,62.6616,15,0.007,2
23,1,0.9565,14.7289,5.8484,19,0.097,1
163,138,0.1534,76.7823,49.8459,15,0.0235,2
16,2,0.875,8.2571,6.9525,16,0.0761,1
27,3,0.8889,13.4869,12.0014,18,0.1698,1
37,31,0.1622,4.165,3.4531,14,1.6893,0
89,83,0.0674,83.1872,67.1846,24,0.022,2
28,2,0.9286,10.8214,9.9381,21,0.1689,1
23,23,0.0,4.9845,2.6639,23,0.2847,0
105,100,0.0476,61.1124,41.3786,28,0.0247,2
20,3,0.85,9.3578,14.9097,15,0.1999,1
179,146,0.1844,37.8257,71.4171,23,0.0233,2
17,4,0.7647,10.6205,5.8473,20,0.1552,1
124,115,0.0726,30.1307,61.101,26,0.0152,2
17,4,0.7647,11.2136,8.8186,17,0.0612,1
19,1,0.9474,10.4241,9.3129,25,0.1016,1
38,34,0.1053,2.5544,2.8046,15,1.8069,0
23,14,0.3913,2.6724,2.2073,16,1.7579,0
27,26,0.037,2.3678,2.4332,25,1.867,0
16,1,0.9375,9.3971,12.8288,24,0.1675,1
168,161,0.0417,31.186,30.3891,24,0.0248,2
26,5,0.8077,11.1137,8.6543,11,0.1273,1
85,73,0.1412,88.0266,41.2961,29,0.0161,2
29,1,0.9655,6.0345,10.0439,29,0.0822,1
19,13,0.3158,4.3935,4.3512,11,0.7858,0
112,92,0.1786,81.3176,95.6593,28,0.0057,2
38,31,0.1842,3.7325,4.8948,26,0.4881,0
20,15,0.25,3.977,1.451,17,0.9186,0
82,66,0.1951,48.2527,75.5058,15,0.0293,2
30,3,0.9,13.6278,14.8116,10,0.0665,1
18,5,0.7222,9.2665,14.4922,13,0.0876,1
40,39,0.025,1.0249,4.7724,29,0.6542,0
141,127,0.0993,61.3945,96.2476,20,0.0203,2
28,23,0.1786,4.7331,4.373,19,1.3135,0
21,18,0.1429,1.8592,4.5223,14,1.7479,0
181,179,0.011,43.2505,65.2397,25,0.0199,2
198,189,0.0455,48.5581,87.7428,17,0.0235,2
28,22,0.2143,2.6647,2.9329,14,0.3964,0
24,22,0.0833,1.5635,4.6753,26,1.2622,0
25,21,0.16,3.1075,2.1868,24,0.5059,0
17,3,0.8235,14.6425,8.6182,21,0.1155,1
20,2,0.9,9.441,6.2267,19,0.0665,1
116,94,0.1897,94.2944,38.2291,30,0.0103,2
20,3,0.85,7.965,12.7567,11,0.1566,1
192,153,0.2031,33.2905,52.9658,29,0.0231,2
35,33,0.0571,1.491,3.3501,17,0.7367,0
18,4,0.7778,10.3053,12.632,19,0.0511,1
120,119,0.0083,60.1405,65.0158,27,0.0231,2
174,141,0.1897,90.2308,99.9941,28,0.015,2
33,33,0.0,0.8562,1.4566,17,0.4599,0
25,1,0.96,11.6377,8.4715,30,0.1977,1
178,175,0.0169,47.1845,57.9824,16,0.0065,2
198,186,0.0606,58.5367,31.261,12,0.0248,2
22,13,0.4091,2.6674,0.6924,22,0.8876,0
18,13,0.2778,0.8157,0.6744,13,1.9014,0
17,11,0.3529,0.5273,3.0785,23,1.2173,0
18,4,0.7778,10.7757,5.5481,11,0.1268,1
21,5,0.7619,14.1525,10.5192,21,0.1561,1
110,89,0.1909,41.4,62.9825,19,0.0145,2
16,14,0.125,4.0588,2.1172,23,0.656,0
168,144,0.1429,68.4469,52.5244,27,0.0054,2
18,13,0.2778,2.667,1.3268,16,1.5152,0
91,86,0.0549,39.9696,78.7662,17,0.0149,2
29,5,0.8276,11.6205,8.4842,18,0.0945,1
80,69,0.1375,35.4119,41.2386,21,0.0235,2
16,14,0.125,1.675,0.7908,25,1.5699,0
21,2,0.9048,11.8708,5.0817,27,0.1663,1
28,3,0.8929,13.8258,10.9542,24,0.1631,1
16,5,0.6875,11.4624,14.0986,17,0.1151,1
81,67,0.1728,64.7624,73.285,16,0.0242,2
24,4,0.8333,6.2835,12.0456,21,0.1096,1
163,154,0.0552,48.0922,40.0806,20,0.0261,2
166,140,0.1566,82.8308,50.2834,21,0.0194,2
34,32,0.0588,3.5215,2.1137,30,1.2168,0
18,5,0.7222,7.6915,10.298,27,0.1153,1
146,122,0.1644,52.6026,39.6789,23,0.023,2
130,105,0.1923,63.2024,98.0843,26,0.0164,2
188,181,0.0372,74.1769,30.545,22,0.0203,2
188,171,0.0904,88.2545,72.741,26,0.0173,2
17,2,0.8824,13.8816,10.7914,22,0.0736,1
146,137,0.0616,85.8839,47.2192,21,0.015,2
87,79,0.092,87.5843,82.4296,20,0.03,2
30,27,0.1,4.1541,4.8489,22,1.5134,0
17,13,0.2353,3.6746,2.1469,30,1.2115,0
24,2,0.9167,8.0659,13.4562,27,0.1991,1
115,92,0.2,60.7627,56.7862,17,0.0201,2
22,4,0.8182,6.1779,5.9098,11,0.1295,1
164,134,0.1829,44.6159,62.7672,19,0.0071,2
28,5,0.8214,8.3839,13.5154,13,0.1808,1
19,11,0.4211,2.7649,4.8409,15,0.2693,0
101,99,0.0198,95.85,39.2496,15,0.0263,2
18,2,0.8889,8.5812,14.0592,14,0.1076,1
186,183,0.0161,76.6918,35.574,29,0.0215,2
196,175,0.1071,48.0448,52.756,19,0.0231,2
19,1,0.9474,11.9802,8.0325,12,0.1005,1
19,16,0.1579,4.6366,4.8466,15,1.7551,0
21,21,0.0,4.6505,1.9753,14,1.6149,0
140,118,0.1571,56.6723,53.9023,26,0.0061,2
168,141,0.1607,53.1293,89.2754,11,0.0198,2
37,29,0.2162,4.7011,3.9569,19,0.8896,0
89,87,0.0225,72.7304,92.2269,25,0.0196,2
27,1,0.963,10.8813,7.468,26,0.1431,1
25,2,0.92,11.8653,14.5144,13,0.1477,1
28,3,0.8929,12.2236,8.9323,10,0.1776,1
37,24,0.3514,4.449,4.4568,17,0.2944,0
24,18,0.25,4.9013,4.1955,25,0.7656,0
25,17,0.32,2.6713,3.0617,20,1.1546,0
21,16,0.2381,2.9022,4.4658,15,1.2815,0
26,3,0.8846,11.2095,12.0646,29,0.1459,1
163,148,0.092,65.322,49.4024,16,0.0223,2
18,2,0.8889,13.8343,11.2981,29,0.0631,1
22,18,0.1818,4.4847,1.1013,26,0.825,0
84,74,0.119,73.2348,59.4231,22,0.0205,2
29,27,0.069,4.6287,2.7569,16,1.7806,0
28,4,0.8571,8.4593,14.8421,20,0.1019,1
91,84,0.0769,41.9163,91.4672,15,0.0205,2
18,2,0.8889,8.0128,9.5434,25,0.0906,1
131,108,0.1756,84.4719,34.3701,14,0.013,2
136,109,0.1985,82.5443,87.8671,15,0.0253,2
18,5,0.7222,11.6202,6.0749,21,0.1722,1
180,149,0.1722,69.7331,60.3692,27,0.0253,2
17,5,0.7059,10.2278,8.2553,28,0.134,1
18,5,0.7222,10.8456,9.1426,26,0.1363,1
98,93,0.051,63.2176,34.5825,25,0.0083,2
147,141,0.0408,58.0179,74.7584,29,0.0111,2
98,94,0.0408,85.8017,91.675,16,0.0071,2
19,5,0.7368,11.7599,13.7183,23,0.0542,1
21,18,0.1429,1.8576,4.1857,27,1.8532,0
15,5,0.6667,13.3844,6.0586,16,0.1828,1
87,84,0.0345,85.2369,85.5858,30,0.0215,2
145,126,0.131,90.1708,97.9793,27,0.0222,2
25,20,0.2,1.6647,1.3334,30,1.3092,0
28,18,0.3571,0.864,2.8948,27,0.5726,0
83,70,0.1566,78.6581,44.981,16,0.0069,2
180,161,0.1056,84.1631,64.1552,13,0.0152,2
20,4,0.8,11.1239,5.6158,26,0.1214,1
105,100,0.0476,92.2254,99.5803,21,0.0152,2
37,22,0.4054,2.2138,3.8085,14,1.6032,0
150,138,0.08,91.7538,71.6274,25,0.017,2
26,19,0.2692,3.7965,4.1734,21,1.822,0
130,104,0.2,90.8482,37.9166,13,0.0269,2
194,169,0.1289,94.1094,33.4114,22,0.0167,2
182,169,0.0714,79.6088,67.9498,28,0.0176,2
25,23,0.08,0.5029,3.5403,18,0.5011,0
103,92,0.1068,53.4902,67.4701,18,0.0204,2
98,85,0.1327,97.2624,97.8472,24,0.006,2
143,132,0.0769,68.2543,88.3797,21,0.0078,2
21,3,0.8571,7.1178,14.1476,15,0.1679,1
20,5,0.75,6.5096,9.508,26,0.1459,1
174,167,0.0402,97.7794,45.9718,25,0.0246,2
126,124,0.0159,45.3944,36.9693,26,0.025,2
37,37,0.0,1.2053,2.8568,10,1.0106,0
36,36,0.0,3.0262,0.8213,29,1.8591,0
152,124,0.1842,58.8888,60.1427,15,0.0261,2
40,40,0.0,4.7047,0.6487,26,1.3873,0
19,5,0.7368,13.7272,5.5739,19,0.194,1
195,185,0.0513,94.0844,56.9579,12,0.0169,2
21,17,0.1905,2.7048,2.4048,29,0.4446,0
28,1,0.9643,14.3743,8.4806,26,0.1494,1
171,162,0.0526,36.6735,40.9732,13,0.0173,2
106,95,0.1038,83.8833,64.9366,10,0.0235,2
27,2,0.9259,14.898,8.9827,14,0.1921,1
116,93,0.1983,45.9657,74.0375,19,0.0282,2
31,18,0.4194,2.1784,3.5073,21,1.8527,0
33,31,0.0606,0.5734,3.6677,26,1.8653,0
15,11,0.2667,4.3388,4.5342,29,0.8133,0
19,18,0.0526,3.2117,2.075,11,1.4899,0
19,1,0.9474,12.7026,7.9149,17,0.1598,1
36,36,0.0,1.8962,1.7738,13,1.2131,0
175,173,0.0114,79.3632,86.8783,29,0.0167,2
35,31,0.1143,3.0137,3.3078,30,0.556,0
161,138,0.1429,53.1951,30.8148,15,0.0205,2
161,159,0.0124,91.4672,57.8899,19,0.0219,2
179,152,0.1508,45.1726,38.6247,21,0.0106,2
26,21,0.1923,1.2037,3.5191,17,0.6207,0
15,2,0.8667,9.4808,8.4815,13,0.1257,1
25,23,0.08,4.2422,2.3975,15,0.4162,0
24,18,0.25,4.1006,2.1216,27,1.4734,0
30,27,0.1,2.0082,3.9447,22,0.7786,0
19,12,0.3684,1.7404,2.0201,20,1.0616,0
94,91,0.0319,43.047,40.9629,10,0.011,2
109,93,0.1468,51.8417,56.206,10,0.0145,2
30,18,0.4,1.0475,2.6005,16,1.4069,0
34,29,0.1471,1.2468,4.5095,27,1.7707,0
15,1,0.9333,14.9657,7.4511,22,0.0579,1
15,4,0.7333,14.1654,8.1778,12,0.1117,1
19,2,0.8947,5.6246,14.47,18,0.1045,1
23,20,0.1304,2.4587,3.7716,22,1.5042,0
21,1,0.9524,10.2825,5.1692,15,0.0636,1
22,1,0.9545,14.1298,12.0514,21,0.1027,1
193,159,0.1762,49.8613,87.4542,29,0.0232,2
150,133,0.1133,88.9927,65.8289,13,0.0202,2
40,38,0.05,0.7814,1.6454,27,0.3753,0
19,3,0.8421,5.2926,10.1254,10,0.073,1
26,4,0.8462,7.2745,12.4089,22,0.1221,1
24,3,0.875,13.0999,14.318,24,0.0624,1
142,135,0.0493,51.1238,87.2959,21,0.0195,2
36,33,0.0833,2.7789,4.2149,30,0.862,0
164,151,0.0793,87.8257,38.75,22,0.0081,2
29,28,0.0345,4.2888,1.8557,15,0.9122,0
16,1,0.9375,9.9522,8.9426,14,0.0523,1
26,26,0.0,3.6199,3.3477,21,0.2179,0
33,32,0.0303,4.7617,3.3174,24,0.2375,0
37,24,0.3514,4.828,3.0947,22,1.5157,0
128,111,0.1328,61.2021,97.679,17,0.0135,2
39,26,0.3333,3.182,1.3903,22,0.7642,0
27,22,0.1852,2.2332,2.6808,25,1.1061,0
26,2,0.9231,13.7067,11.4899,19,0.1648,1
36,27,0.25,3.8577,1.8487,20,0.8723,0
20,3,0.85,14.0647,11.1499,13,0.0603,1
19,15,0.2105,1.8631,3.5349,20,0.5674,0
20,13,0.35,3.5639,3.6343,18,1.9425,0
158,154,0.0253,55.4463,41.4579,22,0.0099,2
23,1,0.9565,9.5938,8.1445,13,0.1383,1
127,102,0.1969,73.7968,52.9822,27,0.0095,2
194,169,0.1289,66.7427,43.1259,19,0.0269,2
96,76,0.2083,36.4847,43.5788,19,0.0153,2
176,141,0.1989,50.2778,48.7641,27,0.0143,2
26,4,0.8462,9.7801,13.0014,15,0.1787,1
27,5,0.8148,7.1854,13.3757,27,0.1882,1
156,124,0.2051,74.1719,48.1248,14,0.0229,2
182,172,0.0549,90.7556,37.3929,11,0.0261,2
22,21,0.0455,4.0913,0.5062,19,1.6031,0
16,14,0.125,1.1768,1.4835,28,1.7167,0
33,30,0.0909,2.379,4.0713,28,0.7989,0
23,5,0.7826,12.5808,8.0962,24,0.058,1
166,145,0.1265,39.4206,64.1066,18,0.0074,2
26,19,0.2692,3.6257,0.6705,15,1.5609,0
23,3,0.8696,8.6652,9.5171,27,0.0526,1
157,126,0.1975,89.3402,48.889,11,0.022,2
33,23,0.303,4.3175,1.6206,11,0.252,0
28,22,0.2143,4.5584,0.8645,14,1.9551,0
137,116,0.1533,79.4351,56.409,18,0.0233,2
83,72,0.1325,37.8467,68.1231,11,0.0128,2
25,21,0.16,2.3477,4.5346,13,1.8498,0
192,173,0.099,80.0871,49.8472,12,0.0124,2
15,12,0.2,4.7037,2.2784,17,1.0058,0
23,5,0.7826,14.9938,7.4742,23,0.0804,1
119,104,0.1261,37.7258,91.6548,12,0.0142,2
153,135,0.1176,96.4934,92.1183,26,0.0207,2
38,25,0.3421,1.4074,4.7974,29,1.0884,0
99,90,0.0909,83.6108,91.9233,23,0.0057,2
24,1,0.9583,7.1548,8.2746,30,0.0507,1
15,13,0.1333,3.6715,4.2774,30,0.5321,0
28,21,0.25,1.8294,1.4465,14,1.9028,0
39,39,0.0,3.0516,3.6364,10,1.747,0
20,3,0.85,11.8473,11.6212,24,0.171,1
18,2,0.8889,14.3127,12.0398,17,0.1584,1
26,18,0.3077,4.7574,2.1723,12,0.4603,0
108,86,0.2037,70.6134,45.455,12,0.0078,2
30,1,0.9667,6.4478,5.4192,26,0.0761,1
30,4,0.8667,14.0335,9.6287,28,0.1061,1
16,2,0.875,6.9932,12.5615,27,0.0807,1
29,3,0.8966,10.2859,5.1692,12,0.0778,1
29,4,0.8621,13.8511,14.2977,23,0.0569,1
15,15,0.0,4.108,4.4957,25,1.6577,0
39,23,0.4103,1.2985,2.8079,29,1.7037,0
19,13,0.3158,1.6874,2.9619,20,1.3756,0
27,2,0.9259,14.9324,14.5566,29,0.1054,1
31,22,0.2903,1.9849,3.4213,17,0.6526,0
25,19,0.24,3.0382,4.1113,18,0.7219,0
21,4,0.8095,7.6811,5.234,10,0.0963,1
19,5,0.7368,7.9174,9.5808,30,0.1946,1
89,74,0.1685,53.6167,94.2827,23,0.0125,2
22,19,0.1364,2.2215,4.12,11,1.2646,0
90,81,0.1,78.3842,41.5547,30,0.0061,2
20,13,0.35,0.8511,1.4437,16,1.0034,0
17,15,0.1176,4.19,4.5596,20,0.2571,0
29,5,0.8276,7.0812,9.1723,14,0.0659,1
113,94,0.1681,76.7985,86.2615,15,0.0194,2
28,5,0.8214,8.6986,11.4529,10,0.1771,1
21,13,0.381,2.9987,3.8346,19,1.0877,0
28,21,0.25,2.3753,4.1568,19,0.4411,0
26,19,0.2692,1.685,1.7706,30,1.5928,0
181,172,0.0497,89.0436,59.8224,13,0.0276,2
191,158,0.1728,79.083,35.4025,27,0.0247,2
28,1,0.9643,8.3469,7.472,13,0.1451,1
23,23,0.0,0.7137,1.2026,28,1.2396,0
29,4,0.8621,14.906,6.6593,11,0.1182,1
22,14,0.3636,0.6335,2.2584,13,1.9628,0
16,10,0.375,2.2616,1.0643,18,1.8116,0
30,22,0.2667,2.8234,3.593,16,1.3697,0
21,5,0.7619,11.2365,8.0232,22,0.0717,1
27,3,0.8889,12.0441,8.3599,25,0.1005,1
196,175,0.1071,34.2324,59.7448,29,0.0052,2
23,2,0.913,6.2972,14.2877,30,0.119,1
28,2,0.9286,10.133,5.1503,14,0.0797,1
158,132,0.1646,81.4923,47.4391,26,0.0204,2
165,152,0.0788,89.7361,33.2252,20,0.0105,2
27,3,0.8889,12.0085,14.574,18,0.1966,1
92,87,0.0543,79.1216,81.883,21,0.0132,2
25,4,0.84,7.5972,14.522,25,0.0515,1
39,23,0.4103,4.9681,2.5131,24,1.7371,0
37,34,0.0811,1.8807,0.9693,11,1.6487,0
35,29,0.1714,3.6213,2.6744,12,1.4494,0
15,14,0.0667,1.6744,4.5798,28,1.1293,0
29,1,0.9655,12.914,13.8443,30,0.1397,1
40,24,0.4,4.2305,3.7887,10,1.1312,0
28,4,0.8571,9.9319,5.0683,20,0.1178,1
131,126,0.0382,34.257,37.3166,24,0.0292,2
18,5,0.7222,13.882,8.4237,14,0.1323,1
25,4,0.84,11.1627,7.1399,26,0.0676,1
36,21,0.4167,2.5014,4.1799,12,0.2923,0
24,19,0.2083,3.7181,3.6466,28,1.4435,0
129,123,0.0465,63.7245,94.6722,21,0.0221,2
17,15,0.1176,4.9095,2.6144,29,0.8355,0
40,29,0.275,3.9094,0.9319,10,0.9576,0
31,25,0.1935,4.2196,3.2945,24,1.1919,0
177,176,0.0056,80.8764,89.3857,23,0.0191,2
17,1,0.9412,7.8777,11.2288,15,0.1574,1
35,34,0.0286,2.9592,1.0512,14,1.8801,0
156,130,0.1667,85.8558,33.6516,10,0.0108,2
18,14,0.2222,4.303,1.7058,25,1.7714,0
24,3,0.875,6.9546,10.8636,13,0.1996,1
15,3,0.8,6.1195,9.1806,22,0.1752,1
31,21,0.3226,1.6791,4.3896,12,0.4982,0
19,17,0.1053,1.152,1.926,11,0.9957,0
130,115,0.1154,49.7525,30.3656,10,0.0193,2
23,4,0.8261,14.8302,6.0309,29,0.1778,1
83,75,0.0964,84.6032,31.3255,19,0.0148,2
28,4,0.8571,13.5786,7.9885,22,0.1352,1
25,1,0.96,13.3338,11.3646,17,0.1502,1
28,3,0.8929,14.7004,12.552,23,0.0905,1
23,23,0.0,0.7971,2.38,24,0.4977,0
20,5,0.75,8.9805,11.5271,16,0.19,1
188,163,0.133,84.1043,48.042,29,0.0249,2
131,129,0.0153,34.4103,98.9335,15,0.0274,2
33,19,0.4242,1.5211,0.9173,22,0.4959,0
155,145,0.0645,43.0235,95.45,14,0.0163,2
26,19,0.2692,4.3861,1.8624,18,0.8973,0
28,1,0.9643,5.7423,13.483,16,0.1156,1
34,31,0.0882,1.9269,3.9626,23,1.7048,0
23,1,0.9565,13.6415,5.4632,25,0.1634,1
144,115,0.2014,31.6869,98.8357,17,0.0076,2
25,1,0.96,10.3072,13.2666,30,0.0805,1
105,84,0.2,88.6404,94.7731,11,0.0099,2
25,1,0.96,6.2604,5.4362,17,0.1051,1
15,2,0.8667,7.6763,12.3279,29,0.0751,1
114,111,0.0263,34.1725,83.379,21,0.0219,2
23,2,0.913,12.621,9.6905,14,0.107,1
16,13,0.1875,4.0831,4.7554,30,1.5585,0
168,134,0.2024,74.1673,31.0445,18,0.0158,2
28,25,0.1071,4.6317,2.2181,17,1.6325,0
15,10,0.3333,4.2485,2.5457,11,1.7373,0
15,1,0.9333,6.4541,12.4018,11,0.1137,1
15,5,0.6667,11.2076,8.1088,16,0.1582,1
29,4,0.8621,13.812,8.9014,22,0.0761,1
35,35,0.0,3.9456,1.6571,29,0.5296,0
129,118,0.0853,75.51,65.9557,25,0.0158,2
20,5,0.75,6.0317,11.2977,16,0.1262,1
20,14,0.3,2.8837,1.9848,29,0.3917,0
18,17,0.0556,1.4552,3.6412,16,1.5946,0
21,4,0.8095,11.7694,11.8409,11,0.0905,1
30,26,0.1333,2.9363,2.1865,29,1.6418,0
19,4,0.7895,9.6266,13.3142,22,0.1895,1
124,116,0.0645,72.2754,34.8829,20,0.0205,2
32,30,0.0625,1.1048,2.2965,25,1.1704,0
178,172,0.0337,53.2136,31.9652,22,0.0079,2
31,29,0.0645,2.1174,3.8653,23,1.6348,0
26,3,0.8846,12.5638,10.3642,13,0.1501,1
15,1,0.9333,7.1626,5.8108,15,0.1417,1
26,2,0.9231,8.9599,9.5263,28,0.1139,1
19,12,0.3684,4.5128,4.7903,24,1.3406,0
20,2,0.9,13.8232,8.7071,19,0.1058,1
20,12,0.4,0.8373,1.6502,21,0.5515,0
27,21,0.2222,2.5928,4.6378,26,1.8184,0
19,16,0.1579,1.8164,2.8701,29,1.6577,0
29,1,0.9655,6.3537,7.276,19,0.0796,1
16,4,0.75,11.5112,9.5479,10,0.1716,1
162,159,0.0185,97.6117,68.4284,20,0.0091,2
28,3,0.8929,9.3716,11.8083,28,0.0757,1
35,21,0.4,2.5705,3.3565,17,1.3397,0
18,10,0.4444,2.5344,2.5483,10,1.2271,0
96,83,0.1354,95.3656,42.6136,29,0.0079,2
22,4,0.8182,5.2749,10.2443,26,0.1107,1
26,18,0.3077,1.5427,1.7435,20,1.3165,0
154,149,0.0325,46.3553,88.657,18,0.0152,2
17,10,0.4118,1.4721,3.3303,19,0.5891,0
158,134,0.1519,72.7983,96.7515,29,0.0083,2
34,32,0.0588,2.5397,4.6305,12,0.894,0
131,125,0.0458,91.3721,86.6388,20,0.0109,2
25,1,0.96,7.1147,6.2958,30,0.1149,1
116,110,0.0517,71.7523,45.1465,12,0.0162,2
118,114,0.0339,35.7045,44.6203,10,0.0108,2
198,163,0.1768,39.8938,88.5806,22,0.0237,2
30,1,0.9667,9.1811,12.083,14,0.1852,1
30,2,0.9333,13.2646,10.865,21,0.0937,1
27,4,0.8519,7.2524,13.9199,19,0.1171,1
182,149,0.1813,91.4005,69.9309,18,0.0232,2
156,156,0.0,58.582,68.0236,23,0.0267,2
199,194,0.0251,62.9074,70.3936,28,0.0238,2
25,21,0.16,2.5838,0.8056,27,1.7938,0
126,100,0.2063,95.1158,46.708,13,0.0138,2
28,3,0.8929,10.8679,12.0482,18,0.0996,1
31,26,0.1613,3.907,1.8102,15,1.7496,0
31,23,0.2581,2.3608,2.1425,25,1.4018,0
22,21,0.0455,0.8088,3.8933,11,1.2226,0
26,1,0.9615,5.273,8.8117,17,0.1724,1
29,23,0.2069,0.5413,0.6422,16,1.052,0
92,84,0.087,33.8243,85.4622,16,0.0255,2
39,29,0.2564,4.6615,1.2296,25,1.8675,0
40,26,0.35,0.5191,4.2805,17,0.6416,0
27,1,0.963,13.6948,7.9464,23,0.127,1
16,11,0.3125,1.852,2.5266,12,1.0249,0
23,18,0.2174,0.9954,3.4903,13,0.7657,0
16,16,0.0,2.5021,1.2973,12,0.7801,0
159,133,0.1635,69.2153,84.6001,29,0.0191,2
130,129,0.0077,96.4153,82.7613,12,0.0139,2
17,2,0.8824,5.3576,6.0829,18,0.1817,1
25,5,0.8,7.0359,5.3727,20,0.1549,1
20,18,0.1,1.6112,2.3452,10,1.8733,0
151,143,0.053,83.872,44.6448,14,0.0257,2
140,131,0.0643,82.7838,99.8697,22,0.0285,2
27,1,0.963,12.9632,5.5161,18,0.0557,1
146,129,0.1164,89.4698,50.8662,12,0.0245,2
15,2,0.8667,13.6329,9.1246,11,0.1635,1
23,2,0.913,5.5875,9.6341,29,0.0557,1
26,4,0.8462,11.0444,9.3091,24,0.1985,1
27,5,0.8148,6.8648,10.6573,22,0.1924,1
179,152,0.1508,92.0557,56.1147,18,0.0092,2
21,19,0.0952,3.0255,3.988,28,1.8941,0
194,159,0.1804,67.9898,33.1528,10,0.0115,2
104,101,0.0288,69.0177,84.7992,26,0.0197,2
124,108,0.129,33.4721,47.9305,30,0.0169,2
23,15,0.3478,4.6624,4.5982,12,1.5471,0
19,19,0.0,1.5639,1.8795,21,1.364,0
17,5,0.7059,7.2461,12.1971,29,0.1882,1
145,132,0.0897,58.7405,88.8195,11,0.0132,2
170,162,0.0471,93.7983,74.4994,22,0.0083,2
25,18,0.28,2.3784,1.3659,27,1.9311,0
19,2,0.8947,5.8335,6.0648,23,0.1591,1
23,1,0.9565,13.0848,10.4013,23,0.191,1
26,3,0.8846,5.5955,5.9985,24,0.1986,1
24,3,0.875,6.0298,6.0881,11,0.0697,1
184,181,0.0163,54.6219,85.8002,13,0.0233,2
199,191,0.0402,79.655,39.4598,23,0.0101,2
168,135,0.1964,85.2262,32.7235,27,0.0068,2
126,103,0.1825,95.2533,33.961,19,0.0181,2
200,184,0.08,57.3646,64.2439,16,0.0096,2
23,5,0.7826,14.2387,11.4208,15,0.0812,1
136,135,0.0074,56.3715,39.2955,16,0.0176,2
95,77,0.1895,57.148,35.9825,19,0.0077,2
83,70,0.1566,38.2695,92.7246,13,0.0224,2
15,5,0.6667,5.3013,10.8054,11,0.085,1
26,24,0.0769,3.1998,3.9672,20,1.6687,0
